username,chat,emotion,toxicity
chewu#LRRY, inutil,disgust,cyberbullying
i miss him#7887, inutil,anger,cyberbullying
rein #yara, inutil,anger,cyberbullying
TRB Chimkemn #star, inutil,anger,cyberbullying
valkri#4126, inutil,anger,cyberbullying
CRZY Sundae #Sweet, inutil,anger,cyberbullying
Zzero0#2485, inutil,anger,cyberbullying
Fry #Bait, inutil ampota,anger,cyberbullying
GKB Mochie#VIN, iron aim,disgust,MM complaints
shobe#hykw, isa dito,neutral,not toxic
shobe#hykw, isa sa gilid,neutral,not toxic
nvrgonletudown #cali, it’s okay,sad,not toxic
SSPH 麗直#715, It’s okay (Agent Name),sad,not toxic
Alysay#1004, its alright,neutral,not toxic
MartinDeCello #LCN79, it's alright,neutral,not toxic
Summer #May, it's alright let's do beyter next round.,anger,not toxic
Wiven#Vivid, its fine,sad,not toxic
Player1#2110, its fine,happy,not toxic
BDSM Chen#CHEN, It's fine,happy,not toxic
krazyybeeeee#barbs, It's fine,neutral,not toxic
Summer #May, it's fine it's just a game chill,neutral,not toxic
Akira#jig, its just a game,neutral,not toxic
Hyacinth#6661, it's just a game' 'nice g' 'nice team work guys!',happy,not toxic
Scrix#9697, its ok,neutral,not toxic
Nachos#5698, it's ok bro,neutral,not toxic
Debawerr#1110, It's ok nice try,neutral,not toxic
Dos #akosi, its okay,sad,not toxic
Akira#jig, its okay,happy,not toxic
yoGABaGABa #6784, its okay,neutral,not toxic
Rev1lo#haze, its okay,sad,not toxic
nakamoto yuta#127, its okay,happy,not toxic
Miwa#0710, its okay,sad,not toxic
ZALE#love, its okay,neutral,not toxic
jotdog#shesh, its okay,happy,not toxic
HanJ#8528, its okay,sad,not toxic
PRKN VINCE #Queen, it's okay,neutral,not toxic
Manang Grasiya#1106, It's okay,happy,not toxic
Squarton #luke, it's okay,sad,not toxic
Burgir #2001 , it's okay,neutral,not toxic
Spleen#spy, it's okay,happy,not toxic
yann19#YAZZ, it's okay,sad,not toxic
AngelieRose#JAZE, it's okay,neutral,not toxic
cogie#rei, it's okay,happy,not toxic
Chinokate#2505, it's okay,sad,not toxic
Zeai#AJMNB, it's okay,neutral,not toxic
SCE Sphynx#tin, it's okay,happy,not toxic
ASTRID#MVP, it's okay,sad,not toxic
hanibiiiii#9999, it's okay,neutral,not toxic
Aei#3633, it's okay,happy,not toxic
tinapangtubol#kobe, it's okay,sad,not toxic
OGLSC#neil, it's okay,neutral,not toxic
RAGING T1TE !vamos, its okay bro,sad,not toxic
TWICE Dahyun#MDAA, it's okay bro try again next time,neutral,not toxic
Sayonara #yssa, its okay nice try,neutral,not toxic
ARTS Hoshiko #EXR, its okay nice try,sad,not toxic
ces#41222, it's okay nice try,sad,not toxic
0, It's okay nice try,neutral,not toxic
juice#1015, it's okay no worries,neutral,not toxic
yuzwmiski#euge, it's okay we all have our bad day. ,sad,not toxic
Yumi Noona#Lewd, It's okay we can still win,sad,not toxic
cupcakebulle#noaim, its okay we can win next round,neutral,not toxic
Yuta #2934, it's okay we can win. We ,neutral,not toxic
cupcakebulle#noaim, its okay your smoke is good even thought ur aim is not good,happy,not toxic
Dooby #babi, it's okay.,happy,not toxic
JunZ#AUG8, It's okay. ,sad,not toxic
calcifer#cruui, it's okay^^,neutral,not toxic
botfrag haha #1432, it's okayy,neutral,not toxic
fatee#rowr, it's okayy,happy,not toxic
Styx #4196, it's/that's fine,neutral,not toxic
Aiko#0425, I've had fun with y'all,happy,not toxic
haru#riee, jejemon,disgust,cyberbullying
uzi#08880, jett diff,sad,MM complaints
BL JeromePlays#Heal , jett has no speed ,sad,gamesplaining
Neneng Makulit#tpcal, just die (in real life),anger,cyberbullying
Maggiekarp Fnboy#1fan, Just die already you fucking noob,anger,MM complaints
Manang Grasiya#1106, just enjoy the game,happy,not toxic
b00tyhub #666, just fcking plant the spike and many more,anger,gamesplaining
XH gelocin#jakem, just go next you guys so stupid la,anger,MM complaints
xrazy jane#mello, just have fun!,happy,not toxic
Secrettt#shhh, just keep practicing and giving tips ,neutral,not toxic
rosie binx #mochi , just leave,anger,gamesplaining
iMissHer #hesk, just play normal dont mind them ,neutral,not toxic
オーケー # euri, just play roblox instead valorant,anger,gamesplaining
Erin#Bliss, Just quit valo,anger,gamesplaining
Midnighttt #noob ," just typing an ""Eyyy"" as an expression after winning the round hypes the team",neutral,not toxic
Maki #chris, k*ll yourself ,anger,cyberbullying
r0han #wews, kadiri boosted,disgust,EBR complaints
chimken nagets #jeyzz, kantutin kita,anger,cyberbullying
Sayonara #yssa, kawawa magulang mo sa pag pa-aral sayo,disgust,cyberbullying
nvrgonletudown #cali, kaya mo ‘yan,sad,not toxic
mart1ne#0801, kaya mo yan,disgust,not toxic
Miwa#0710, kaya mo yan,happy,not toxic
IV of Fade #OPM, kaya mo yan! ,happy,not toxic
Yummy hotdog #tomeh, kaya natin to,happy,not toxic
el cucuy#razon, kaya natin to.,sad,not toxic
bbkakai #catto, Kaya pa to,happy,not toxic
Miwa#0710, kaya pa toh laban lang (during compe game),sad,not toxic
ARTS Hoshiko #EXR, kaya pala bobo babae kasi,sad,sexism
Daga #mouse, kaya yan,happy,not toxic
Fritzo #esj, keep barking,anger,MM complaints
PZX KEN #EALYN, keep it up,happy,not toxic
Shiroyasha #cute, keep it up,anger,not toxic
K45oyik #1206, keep it up,happy,not toxic
IV of Fade #OPM, keep it up,disgust,not toxic
Aullie #4399, keep it up,anger,not toxic
DDT Panda #josh, kill someone,anger,cyberbullying
Lwyslo#SMN, kingina naman,anger,cyberbullying
iskay #0525, kinokompara ang kakampi sa kalaban lalo na kapag magkapareho sila ng agent na ginagamit,neutral,MM complaints
Miwa#0710, kiss kita pag na clutch mo.,happy,not toxic
DROWHUNTER #2458, kiss my ass,anger,cyberbullying
Giyu#SLYR, knife,neutral,not toxic
West Virginia #Htdog, kuya ano discord mo ,neutral,not toxic
Pupibro シ #PUPI, kys,neutral,not toxic
badtzmaru #gers, la ka namang ambag',disgust,Blaming others
Adult Hipster #6969, lakas,disgust,not toxic
I JUST WANT TO HELP YOU IN YOUR RESEARCH #jit, lakas lods,sad,not toxic
strawberry #mica, lakas mo,happy,not toxic
YoreL#LeroY, lakas nyo,happy,not toxic
rein #yara, lakasan mo pa,disgust,RNG complaints
Player1#2110, laro lang,neutral,not toxic
ZNTH Arvie #wapol, laugh,neutral,not toxic
LikMaB#alls, Laughs (5555,neutral,not toxic
Niccolò Paganini#Vrtso, let him get the ace,neutral,not toxic
Sourcrem #potat, let's duo,happy,not toxic
Kuys #ayban, lets go,happy,not toxic
ram #0412, lets go,happy,not toxic
NRX Jae eon#999, lets go a,neutral,not toxic
NRX Jae eon#999, lets go b,neutral,not toxic
NRX Jae eon#999, lets go c,neutral,not toxic
Katsuki#AJKSS, Lets go team!,happy,not toxic
RoDe0#69420, lets go!,happy,not toxic
Miwa#0710, lets go!,happy,not toxic
Jsauce#1212, let's go!,happy,not toxic
Kagome#BigPP, let's group up,happy,not toxic
zerre#cire, lets play 5 man,happy,not toxic
i 8 his chicken#dark, let's play again,happy,not toxic
Niccolò Paganini#Vrtso, let's play again,happy,not toxic
Pupibro シ #PUPI, Let's play again after,happy,not toxic
Kuraidu #yAah, Let's Play another game,happy,not toxic
Homura #Fuyu, let's play next time,happy,not toxic
amity#ars, lets rush,neutral,not toxic
amity#ars, lets save,neutral,not toxic
Kagome#BigPP, let's stay calm,neutral,not toxic
Debawerr#1110, let's tame a selfie,happy,not toxic
Maki #chris, let's try next round,happy,not toxic
Herakles #qqqqq, Likod mo tanga,anger,RNG complaints
G2V Yadidss #0413, lipat ka na ibang laro wala kang future dito,disgust,gamesplaining
neyowwmi#chzy, literally noob,disgust,MM complaints
Insanity#3008, locations coms,neutral,not toxic
An Dhen#1427, 'look at the map',disgust,gamesplaining
hanibiiiii#9999, love it,happy,not toxic
Kuys #ayban, love u all guys,happy,not toxic
Fry #Bait, love you,happy,not toxic
k j l #005, love you  (the agent you using),happy,not toxic
TBE Whack#cutie, love you bro,happy,not toxic
Arlecchino#9701, love you guys,happy,not toxic
b00tyhub #666, love you raze,happy,not toxic
Miwa#0710, loveyou sage thankyou sa heal,happy,not toxic
OGLSC#neil, low,neutral,not toxic
Boozy#182, Lupet mo gago!,happy,not toxic
kaorikoko #cry, lurk ako,neutral,not toxic
SSunday#nocap, madarchod,happy,not toxic
hanibiiiii#9999, mag quit ka na ng valo,anger,gamesplaining
Jeeeeeelly #Ace, mag roblox ka nalang,anger,gamesplaining
Asclepius #danic," mag sama kayo ni ""agent name"" parehas naman kayong tanga/bobo",anger,cyberbullying
p1nk venom #BLINK, magaling,happy,not toxic
SCE Sphynx#tin, magaling ka naman upgrade ka lanh pc soon,happy,not toxic
RAAALD #3685, maghugas ka na lang ng plato,anger,RNG complaints
Bossy Baby #LUSHY, maghugas ka nalang ng damit/pinggan,anger,RNG complaints
AXR lampniibarra #RZCT, magkacancer ka sana,sad,cyberbullying
AXR lampniibarra #RZCT, magpakamatay ka na,anger,cyberbullying
calcifer#cruui, magquit ka na,disgust,gamesplaining
krazyybeeeee#barbs, mag-uninstall ka na lang,anger,gamesplaining
14th Element#6250, mahina,happy,RNG complaints
Summer #May, malandi,happy,RNG complaints
keyleeeee#00001, mama mo,sad,RNG complaints
Ryujin#0418, Mamatay ka,sad,RNG complaints
RoDe0#69420, mamatay ka na,sad,cyberbullying
chimken nagets #jeyzz, mamatay ka na,anger,cyberbullying
TRB Chimkemn #star, mamatay ka na,sad,cyberbullying
PandaBaby #BABY, mamatay ka na,anger,cyberbullying
DN NEMO#PEKOO, mamatay ka na,anger,cyberbullying
Serendipity#TW1SH, mamatay kana :(,sad,cyberbullying
chimken nagets #jeyzz, mamatay na buong pamilya mo,anger,cyberbullying
Munkush #3828, mamatay na sana pamilya mo,anger,cyberbullying
PD Jblazeer#lui, mamatay sana nanay mo,anger,cyberbullying
Wiven#Vivid, mangmang,disgust,RNG complaints
chewu#LRRY, mangmang,anger,RNG complaints
CRZY Sundae #Sweet, mangmang,disgust,RNG complaints
Maeve#whiff, map callouts,neutral,not toxic
Eirlys#5852, maquit kana,anger,gamesplaining
AXR lampniibarra #RZCT, ma-rape ka sana,anger,cyberbullying
Yuta #2934, MARRY ME,happy,not toxic
Bunchun#7up, matulog ka na,disgust,RNG complaints
ram #0412, matulog ka na lang,disgust,RNG complaints
shobe#hykw, may a na,neutral,not toxic
shobe#hykw, may b na ah,neutral,not toxic
shobe#hykw, may mid na ah,neutral,not toxic
Bianx#whiff, may skin ka?,neutral,not toxic
Kuys #ayban, mb,sad,not toxic
Yuta #2934, mb,sad,not toxic
NattyTashy #chrry, mb,surprise,not toxic
Chinokate#2505, mb,sad,not toxic
hanibiiiii#9999, mb,sad,not toxic
MasterBencion#111, mb,sad,not toxic
Hyeju #Kyu, Mb,sad,not toxic
Player1#2110, mb (my bad),sad,not toxic
CE somi#zenin, mf,sad,cyberbullying
Danizue#GF2, mga A.I,anger,MM complaints
Kyouko #1234, Mga babae di talaga pwede maglaro ng panlalaki ee,disgust,sexism
r0han #wews, mga bobo,anger,RNG complaints
Danizue#GF2, Mga Bobo,disgust,RNG complaints
Eyyshork #ace, Mga walang ambag.,anger,MM complaints
guiche#lorum, mid,neutral,not toxic
Scrix#9697, Mid,neutral,not toxic
guiche#lorum, midtop,neutral,not toxic
Burakdoy #0911, minus (damage) sa agent,neutral,not toxic
Liyan #AX1A, misogynistic remarks (common in low elo. rare @ hi elo),neutral,sexism
nabi #bzbzz, moans,neutral,RNG complaints
Summer #May, mocking my small natural voice,neutral,RNG complaints
elysiarson#bro, monkey,anger,racism
Lien#0618, moron,anger,cyberbullying
iroh#haha, mostly mura na,neutral,not toxic
Euwannnn#0523, mostly tagalog swear words tho sum people just use it for normal comms,neutral,not toxic
bubbles#0217, Motherf**ker,anger,cyberbullying
H3CCO2CH2CH3 #ester, motherfucker,anger,cyberbullying
Pupibro シ #PUPI, motherfucker,anger,cyberbullying
Potion #STIV, mungago,anger,cyberbullying
Chicken Adobo#Les, my bad,sad,not toxic
bitWise#OPRTR, my bad,sad,not toxic
Nachos#5698, my bad,sad,not toxic
ZALE#love, my bad,sad,not toxic
Psychedelic #kohi, n word,anger,racism
Raijin#0829, N1,happy,not toxic
Yuta #2934, N1,surprise,not toxic
0, n1,happy,not toxic
Aendi #1108, n1,surprise,not toxic
Euwannnn#0523, N1,happy,not toxic
Lomllev#Berry , n1,happy,not toxic
you cant fix me#vrsce, n1,surprise,not toxic
VALAR Lucifer #PEPE, n1,happy,not toxic
Zoe Potato#zoe, n1,happy,not toxic
Potato#KIT, n1,surprise,not toxic
Zero Sevet #NOCAP, n1,happy,not toxic
Naofumi#0721, N1,surprise,not toxic
PSD TheeEmm #cynch, n1,happy,not toxic
Seiji#B0nk, nag whiff si bobo haha,happy,cyberbullying
iskay #0525, nag-iingay kapag nagcclutch yung ayaw nilang kakampi,neutral,MM complaints
Samyang#JULS, nagsosolo kase tanga naman,disgust,cyberbullying
オーケー # euri, nah go back to your poor place idiot,disgust,cyberbullying
Sanibeu#DDG, naka headset ka ba?,anger,not toxic
oyasumi#5643, namecalling,neutral,cyberbullying
AXR lampniibarra #RZCT, nanay mo na-rape,anger,cyberbullying
DRM Aim Bot #PJAY, nandyan na,anger,not toxic
Jeeeeeelly #Ace, napaka bobo mo,anger,RNG complaints
Jeeeeeelly #Ace, napaka bobo mo,anger,RNG complaints
SCE Sphynx#tin, NAPAKA BOBO MO PUTA DI KA MAKAPAG CLUTCH,disgust,RNG complaints
Lwyslo#SMN, napaka tanga mo,anger,RNG complaints
Ezicriel#five, napakabobo,anger,RNG complaints
HY Cue#0208, napakabobo,anger,RNG complaints
RAGING T1TE !vamos, nasa A,neutral,not toxic
Tap #0000, NAYSUUUUU,surprise,not toxic
Yuta #2934, NC,happy,not toxic
Shinsquared#2020, nc,happy,not toxic
TonKetsu #TWICE, nc,happy,not toxic
Nvrm #2542, nc,surprise,not toxic
スター#0714, nc,happy,not toxic
A3SPA KyZ3N#00001, nc,surprise,not toxic
vic sotto#EXSNT, nc,happy,not toxic
arvin #JCAR, NC,surprise,not toxic
botfrag haha #1432, nc,happy,sarcasm
Amira #CCCCC, nc,happy,sarcasm
emjaycee#ASTRO, NC,happy,sarcasm
Potato#KIT, Nc,happy,sarcasm
Mono#only1, nc,happy,sarcasm
catlkaylie #cats, nc,happy,not toxic
widowmaker00#6786, nc,happy,not toxic
うねり#meili, nc,happy,not toxic
M0moring #momo, nc,happy,not toxic
PSD TheeEmm #cynch, nc,happy,not toxic
Burakdoy #0911, nc,happy,not toxic
Calmpath #9409, nc,happy,not toxic
Giyu#SLYR, nc aim,happy,not toxic
UFC Hot Sauce #UFCHS, nc and commend,happy,not toxic
スター#0714, nc backup,happy,not toxic
ecniv#0405, nc clutch,happy,not toxic
TheSacredCat #1222, nc g,sad,not toxic
GEORGINA #RG28, nc g,happy,not toxic
AXR lampniibarra #RZCT, nc g,happy,not toxic
Dos #akosi, nc g,sad,not toxic
Ryiou #7777, nc g,happy,not toxic
z0m #0911, nc g,happy,not toxic
Giyu#SLYR, nc g,happy,not toxic
arvin #JCAR, NC G,sad,not toxic
p1ssbulbol #pogi (sorry po sa inappropriate name), nc g,sad,not toxic
Aoki #xyr, nc g,sad,not toxic
KingQueen#jeff, nc g,sad,not toxic
K4t4kuri #5030, nc g,sad,not toxic
Xythe #0822, nc g,sad,not toxic
bagal #3250, nc g,sad,not toxic
Zero Sevet #NOCAP, nc g,sad,not toxic
Maema#4541, 'nc g',happy,not toxic
WIR Gyozaaa#3025, nc g.,happy,not toxic
Kuro#9045, nc game,happy,not toxic
MasterBencion#111, nc gggggg,sad,not toxic
Johnny Saints#2001, nc one,sad,not toxic
Nitch#0828, nc one,sad,not toxic
zenin#1202, nc one,happy,not toxic
KennyX #30 6, nc one,happy,not toxic
kyhianna#1208, nc one,happy,not toxic
PoH#04009, nc one ,happy,not toxic
Xiaya#cutie, nc shot,happy,not toxic
ryuddaeng #jmkai, nc shot,happy,not toxic
Dos #akosi, nc shot,happy,not toxic
Vile#krim, nc shot,happy,not toxic
zenin#1202, nc shot,happy,not toxic
Claive Haine#ori, NC shot,happy,not toxic
PSD TheeEmm #cynch, nc shot,happy,not toxic
Danke Seb V5#0310, Nc shot baby,happy,not toxic
MasterBencion#111, nc shott,happy,not toxic
Ryujin#0418, Nc trade,sad,not toxic
nishi#nich, nc trade,happy,not toxic
bumalik kana hmp#imy, nc try,sad,not toxic
PowerLesS#1430, nc1,happy,not toxic
Adult Hipster #6969, nc1,sad,not toxic
A3SPA KyZ3N#00001, nc1,sad,not toxic
hanibiiiii#9999, nc1,sad,not toxic
Deep Voice Egirl#aira, NC1,happy,not toxic
bagal #3250, nc1,happy,not toxic
starchrys#4446, nc1,happy,not toxic
うねり#meili, nc1,happy,not toxic
House #2257, nc1,happy,not toxic
zerre#cire, ncg,happy,not toxic
nesaemx666#w1z, ncg,sad,not toxic
bumalik kana hmp#imy, ncg,happy,not toxic
ASTRID#MVP, ncg,sad,not toxic
Vellium #3189, NCG,happy,not toxic
Kenma#Zero, ncg,sad,not toxic
I hate Reyna#8591, Ncgame,sad,not toxic
edwrd #oms, ncggs,sad,not toxic
Yangbratz#vlrnt, nd,sad,not toxic
yoGABaGABa #6784, never play again,sad,Gamesplaining
Yumi Noona#Lewd, Nevermind the toxic one just focus on the game we can do this,neutral,not toxic
MartinDeCello #LCN79, next time be better ,happy,not toxic
SSPH 麗直#715, Next time please don’t peak like that (in a calming voice),neutral,not toxic
celsius#urs, next time ulit,happy,not toxic
Mono#only1, nf,sad,not toxic
0, NG,happy,not toxic
Inuyashima #1920, NGE (Nice Game Everyone),happy,not toxic
Shizu #IDK, nice,happy,not toxic
Aendi #1108, nice,happy,not toxic
Sora#ODRI, nice,happy,not toxic
Berith#TWICE, nice,happy,not toxic
Woo wop #2220, NICE,disgust,not toxic
0, nice,disgust,not toxic
Lux#SHN, nice,disgust,not toxic
Ennaira#saint, nice,disgust,not toxic
Ducky One#dace, nice,disgust,not toxic
NissanSilvia S15 #Panda, nice,disgust,not toxic
pancake #dgaf, nice,disgust,not toxic
My Spinach Puffs #kronk, nice,disgust,not toxic
Phoxsap#2223, nice,disgust,not toxic
0, nice,disgust,not toxic
artem1s #LUNA, nice,happy,not toxic
dracareese#reese, Nice,happy,not toxic
Lexgetit #LJC, nice,happy,not toxic
CRZY Sundae #Sweet, nice,happy,not toxic
nabi #bzbzz, nice,happy,not toxic
HanJ#8528, nice,happy,not toxic
Hyeju #Kyu, Nice,happy,not toxic
homeless emperor#1029, nice,happy,not toxic
catlkaylie #cats, nice,happy,not toxic
XH Makie#1802, nice,happy,not toxic
Brawk #GEAR, nice,happy,not toxic
LoloSanders #AshMC, nice,happy,not toxic
zerre#cire, nice ,happy,not toxic
The Unforgiven #makuu, nice ,happy,not toxic
Moth #layt, Nice *skill (stun,happy,not toxic
kaorikoko #cry, nice 1,happy,not toxic
chou tzuyu #6523, nice 1,happy,not toxic
Nitch#0828, nice 1/one,happy,not toxic
Naoki #0704, nice 4k,happy,not toxic
Mitochondria#isthe, nice ace,happy,not toxic
b00tyhub #666, nice ace,happy,not toxic
r0han #wews, NICE ACE,sad,not toxic
Naoki #0704, nice ace,sad,not toxic
Tap #0000, NICE ACE,happy,not toxic
starchrys#4446, nice ace,happy,not toxic
HY Cue#0208, nice ace!,happy,not toxic
Itsviiiii #cute, nice aim,happy,not toxic
Fry #Bait, nice aim,disgust,sarcasm
Sanibeu#DDG, nice aim,disgust,sarcasm
Herakles #qqqqq, Nice aim,happy,not toxic
DBTK MAGDALENA #BAKLA, nice aim,happy,not toxic
xzSenju, nice aim,disgust,sarcasm
Zaelleeeeeee#0143, nice aim,disgust,sarcasm
H3CCO2CH2CH3 #ester, nice aim,happy,not toxic
rakeel #likea, nice aim,happy,not toxic
smithereens #1111, nice aim,disgust,sarcasm
Tadashi#3805, nice aim,happy,not toxic
Amehrys #HARU , nice aim,happy,not toxic
オーケー # euri, nice aim ,happy,not toxic
Katsuki#AJKSS, Nice aim bro,disgust,sarcasm
GT BLACKSHEEP #TOW, nice ang galing,happy,not toxic
SCE Hades #Riz, nice blind,happy,not toxic
Fool #6104, nice bro,happy,not toxic
Kuroi_Inu #cmd, Nice Call,happy,not toxic
I JUST WANT TO HELP YOU IN YOUR RESEARCH #jit, nice clutch,happy,not toxic
Mitochondria#isthe, nice clutch,happy,not toxic
RippleEffect#0305, nice clutch,happy,not toxic
mau#1229, nice clutch,happy,not toxic
keshii#zZzzZ, NICE CLUTCH,happy,not toxic
IV of Fade #OPM, nice clutch,sad,not toxic
his toyo #womp, Nice Clutch ,happy,not toxic
zerre#cire, nice clutch and aim diff,happy,not toxic
JJW Seahorse #eruys, nice clutch etc.,sad,not toxic
valkri#4126, Nice comms,happy,not toxic
OnlyJudgCanGodMe #BLSSD, Nice coms,happy,not toxic
RGB 0000FF#BLUE, nice cover!,happy,not toxic
his toyo #womp, Nice Eco,happy,not toxic
Zeke#maro, nice flash,happy,not toxic
Boozy#182, Nice flick,happy,not toxic
AysKreme#MVRA, nice flick,happy,not toxic
Sheesh Escudero #Tene, nice flick,happy,not toxic
Berith#TWICE, Nice G,happy,not toxic
Nek0#meoww, nice g,happy,not toxic
Going Merry#0428, nice g,sad,not toxic
Danke Seb V5#0310, Nice G,sad,not toxic
fishybench#6069, nice g,happy,not toxic
Mamas boyyy #Cobe, nice g,happy,not toxic
DZADDY #TWICE, Nice G,sad,not toxic
sujin #9488, nice g,happy,not toxic
zenitchuu#67050, Nice G,happy,not toxic
shiro#chrls, nice g,sad,not toxic
Kirisu#RSNNE, Nice G,happy,not toxic
Beau#0718, Nice G,happy,not toxic
Fry #Bait, Nice G,sad,not toxic
Ezicriel#five, nice g,sad,not toxic
바나나 토마토 #0eX, Nice G,sad,not toxic
Eris#akuma, nice g,sad,not toxic
Astrox #tofu, nice g,sad,not toxic
shobe#hykw, nice g,sad,not toxic
H3CCO2CH2CH3 #ester, Nice G,sad,not toxic
potato#uror, nice g,sad,not toxic
NattyTashy #chrry, Nice g,happy,not toxic
Giyu#SLYR, nice g,happy,not toxic
Calamacakes#cakes, Nice G,happy,not toxic
his toyo #womp, Nice G,happy,not toxic
Siomai#5722, nice g,happy,not toxic
暗Cloudcry ツ #4909, Nice G,happy,not toxic
hidingbush #3923, Nice G,happy,not toxic
CST kenz#porks, nice g,happy,not toxic
chimken nagets #jeyzz, nice g,happy,not toxic
reginaa #6890, nice g,happy,not toxic
Mar #1428, nice g,happy,not toxic
krazyybeeeee#barbs, Nice G,happy,not toxic
GUYS Kensh1n #xenim, Nice G,sad,not toxic
Oreo#kbnjl, nice g,happy,not toxic
Sayonara #yssa, nice g,sad,not toxic
Diko na po maalala, nice G,happy,not toxic
Moth #layt, Nice G,sad,not toxic
Humble#3447, Nice G,happy,not toxic
Don Corleone #3101, nice g,sad,not toxic
Cosmo#2029, nice g,happy,not toxic
Rirawr#1017, nice g,sad,not toxic
keyleeeee#00001, nice g,happy,not toxic
LoloSanders #AshMC, nice g,sad,not toxic
Kuys #ayban, nice g ,happy,not toxic
i 8 his chicken#dark, nice g guys,happy,not toxic
Shinatora#2900, nice g<3,happy,not toxic
Sora#ODRI, nice game,happy,not toxic
Tap #0000, NICE GAME,happy,not toxic
Crescht #blom, nice game,happy,not toxic
SULLENESS#diu2, nice game,happy,not toxic
Asclepius #danic, NICE GAME,happy,not toxic
T2 Iman #ems, nice game,happy,not toxic
cupcakebulle#noaim, nice game,sad,not toxic
prans#kath, nice game,sad,not toxic
bread#F01, nice game,sad,not toxic
Sanibeu#DDG, nice game,sad,not toxic
i 8 his chicken#dark, nice game,sad,not toxic
Homura #Fuyu, Nice Game,sad,not toxic
SCE Hades #Riz, nice game,happy,not toxic
Sen Otenz#666, nice game,happy,not toxic
rein #yara, Nice game,sad,not toxic
Jeffers0n#2004, Nice game,happy,not toxic
Akira#jig, nice game,happy,not toxic
madeemoicelle #M4CE, nice game,sad,not toxic
Kenma#mau, Nice game,happy,not toxic
yoGABaGABa #6784, nice game,happy,not toxic
ginanon lng aq #ahri, nice game,sad,not toxic
Omalabs #9245, nice game,happy,not toxic
bubbles#0217, Nice Game,happy,not toxic
SYNRGY Anya #ARCNE, nice game,sad,not toxic
0, Nice game,happy,not toxic
pheyb #ajn, nice game,happy,not toxic
0, nice game,sad,not toxic
ZALE#love, nice game,happy,not toxic
RAAALD #3685, nice game,happy,not toxic
mangopie#pie, Nice game,sad,not toxic
Di ko tanda ign ko. Mag answer nalang ako hahaha, nice game,happy,not toxic
tinapangtubol#kobe, nice game,happy,not toxic
Kuraidu #yAah, Nice game,sad,not toxic
Pikayuls#GEAR, nice game,happy,not toxic
Nitch#0828, nice game,happy,not toxic
YoreL#LeroY, nice game,sad,not toxic
Chanchi#2004, nice game,happy,not toxic
Serendipity#TW1SH, nice game,sad,not toxic
TBE Whack#cutie, Nice game,sad,not toxic
DanaSoslar#abbie, nice game,happy,not toxic
Aiko#0425, nice game,sad,not toxic
eris #gebb, nice game,sad,not toxic
0, nice game,happy,not toxic
Quokka#cola, nice game,sad,not toxic
Zzero0#2485, nice game,sad,not toxic
Fritzo #esj, Nice game,happy,not toxic
Hate #qtqt, nice game ,sad,not toxic
CHOLO #HUSK, Nice Game ,sad,not toxic
DRM Aim Bot #PJAY, nice game ,happy,not toxic
Potion #STIV, Nice game all,happy,not toxic
Kennnny #Yeji, Nice game Boiz,sad,not toxic
o7 naevis #nvstr, Nice Game guys,happy,not toxic
Arlecchino#9701, nice game guys,happy,not toxic
zineeey#777 , Nice game guys,sad,not toxic
Luciofix#chase, nice game laro uli tayo?,happy,not toxic
DDU alvinj #ECE, nice game lods,happy,not toxic
AXR lampniibarra #RZCT, nice game!,sad,not toxic
ego #1468, nice game.,happy,not toxic
fatee#rowr, nice ggg,happy,not toxic
Serendipity#TW1SH, nice half,sad,not toxic
eris #gebb, nice half,happy,not toxic
Zeke#maro, nice hold,happy,not toxic
Leeey#2003, nice hold,sad,not toxic
Styx #4196, nice job,happy,not toxic
Sakit mo mahalin#Mayeh, nice job,happy,not toxic
0, nice job,sad,not toxic
Lexgetit #LJC, nice job,happy,not toxic
Chanx#1010, Nice Kill,happy,not toxic
Wally Bayola#2774 , Nice kill,sad,not toxic
cupcakebulle#noaim, nice kill,happy,not toxic
DDT Panda #josh, nice kill,happy,not toxic
rein #yara, nice kill,sad,not toxic
celsius#urs, nice kill,happy,not toxic
Zeai#AJMNB, Nice kill,happy,not toxic
pol#9715, nice kill,sad,not toxic
Lux#SHN, nice kill,happy,not toxic
Thing#achie, nice kill,happy,not toxic
Annastasius#Kath, nice kill,sad,not toxic
Serendipity#TW1SH, nice kill,happy,not toxic
aki #fifi, nice line up,happy,not toxic
ONIG#nani, nice line ups,sad,not toxic
Fry #Bait, nice line ups.,happy,not toxic
nisa#8352, nice lineup,happy,not toxic
ADMR14#DALE, nice lineups,sad,not toxic
rein #yara, nice man,happy,not toxic
aki #fifi, nice molly,happy,not toxic
Maggiekarp Fnboy#1fan, Nice molly brimstone,sad,not toxic
Lidia Sobieska #6995, Nice nice,happy,not toxic
Zaelleeeeeee#0143, nice one,happy,not toxic
Isumi Tachiii #mpty, nice one,sad,not toxic
bagal #3250, nice one,happy,not toxic
C8H11NO2#007, nice one,happy,not toxic
Mitochondria#isthe, nice one,sad,not toxic
Itsviiiii #cute, Nice one,happy,not toxic
South Carolina #0008, NICE ONE,happy,not toxic
DDT Panda #josh, Nice one,sad,not toxic
Fry #Bait, nice one,happy,not toxic
i miss him#7887, nice one,happy,not toxic
SS Tacenda #meer, nice one,sad,not toxic
rein #yara, nice one,happy,not toxic
XH NCKS#cute, nice one,happy,not toxic
