username,chat,sentiment,toxicity
neverland,aw SANA KANINA PA GINAWA,anger,cyberbullying
neverland,o di ba,happy,not toxic
neverland,buti pa si kj,happy,sarcasm
neverland,di nakikipagtrashtalkan tapos aalis,happy,rng complaints
neverland,ggs,disgust,not toxic
neverland,gg,sad,not toxic
neverland,gg,disgust,not toxic
neverland,tf,surprise,cyberbullying
neverland,tangignayo,anger,cyberbullying
neverland,mga bobo,anger,cyberbullying
neverland,bobo,anger,cyberbullying
neverland,hello,neutral,not toxic
neverland,sinasabi nitong reyna,anger,blaming others
neverland,maglaro ka na lang dyan,anger,cyberbullying
neverland,bat tumahimik,anger,sarcasm
neverland,aw minute ako,anger,not toxic
neverland,cornt,surprise,ableism
neverland,plat buddy ep 4,surprise,MM complaints
neverland,di na nakabalik?,happy,blaming others
neverland,sad,happy,sarcasm
neverland,nt nt,sad,not toxic
neverland,res,neutral,not toxic
neverland,afk,neutral,not toxic
neverland,spawn,neutral,not toxic
neverland,EFK,neutral,not toxic
neverland,nice,disgust,not toxic
neverland,ano yung efk,neutral,not toxic
neverland,1st round panalo pero umiiyak,happy,EBR complaints
neverland,AHAHAHAHA,happy,not toxic
neverland,forsaken,neutral,not toxic
neverland,wala originality,anger,cyberbullying
neverland,feeling paper rex,anger,sarcasm
neverland,ct,neutral,not toxic
neverland,garage,neutral,not toxic
neverland,chamba lang yun,disgust,RNG complaints
neverland,drop,neutral,not toxic
neverland,afk brom,neutral,not toxic
neverland,nt,sad,not toxic
neverland,nt,neutral,not toxic
neverland,nt,sad,not toxic
neverland,garage,neutral,not toxic
neverland,TAKBUHINN,anger,cyberbullying
neverland,KAYA PA SOVA,neutral,blaming others
neverland,DAMI KILLS WALA ENTRY,anger,blaming others
neverland,boosted si tropa,neutral,EBR complaints
neverland,EW,disgust,cyberbullying
neverland,anong boosted,sad,EBR complaints
neverland,HAHAHAHAH,happy,not toxic
neverland,tangina,anger,cyberbullying
neverland,SAN NA MIC MO,anger,cyberbullying
neverland,CORNT,surprise,ableism
neverland,la ka bayag pang mic,anger,sexism
neverland,-52 ISO,neutral,not toxic
neverland ,nt,sad,not toxic
neverland,NT,anger,not toxic
neverland,NICE BAIT,anger,EBR complaints
neverland,checkflank,neutral,not toxic
neverland,pls,anger,not toxic
neverland,I ws in iso ult what u want me to do,anger,not toxic
neverland,-56,neutral,not toxic
neverland,iso,neutral,not toxic
neverland,80 iso low,neutral,not toxic
neverland,wp bait,anger,EBR complaints
neverland,raze can u just shut up,anger,EBR complaints
neverland,baiter,anger,cyberbullying
neverland,get kills first,anger,not toxic
neverland,baiter,happy,cyberbullying
neverland,HAHAHAH,happy,cyberbullying
neverland,BAITER,happy,cyberbullying
neverland,???,surprise,sarcasm
neverland,skye throw,anger,RNG complaints
neverland,Sage NEEDS HELP at A Site,neutral,not toxic
neverland,Breach signals DANGER near Mid Courtyard,neutral,not toxic
neverland,raze u actually suck,anger,EBR complaints
neverland,?,surprise,not toxic
neverland,hahahha,happy,not toxic
neverland,lmao,happy,not toxic
neverland,80ms + 3- packetloss,disgust,not toxic
neverland,HAHAHAHA,disgust,not toxic
neverland,BAITER,disgust,cyberbullying
neverland,HAHAHAH,happy,not toxic
neverland,LOW ELO PLAYERS,happy,EBR complaints
neverland,u were just staying there,anger,not toxic
neverland,DONT CRY SAGE,happy,cyberbullying
neverland,BAITER,happy,cyberbullying
neverland,and u saying we bait,disgust,EBR complaints
neverland,BAITER,disgust,cyberbullying
neverland,a,sad,not toxic
neverland,FROM ROUND1,anger,EBR complaints
neverland,HAHAHAHA,anger,cyberbullying
neverland,TO THIS ROUND,anger,EBR complaints
neverland,resmepls,sad,not toxic
neverland,nc,happy,not toxic
neverland,skye a,anger,not toxic
neverland,hiding,happy,EBR complaints
neverland,CAREFUL PHEONIX,disgust,not toxic
neverland,gg,sad,not toxic
neverland,NICE ONE SAGE,anger,not toxic
neverland,GG,happy,not toxic
neverland,-57 KJ,sad,not toxic
neverland,BLIND,disgust,not toxic
neverland,ULT,disgust,not toxic
neverland,mb,sad,not toxic
neverland,NT,sad,not toxic
neverland,nt,sad,not toxic
neverland,mb,sad,not toxic
neverland,SAD,sad,cyberbullying
neverland,2 window,neutral,not toxic
neverland,30,neutral,not toxic
neverland,nt,sad,not toxic
neverland,SKYE WHAT ARE YOU DOING IN GARAGE?,disgust,RNG complaints
neverland,dfq ?? ,surprise,not toxic
neverland,gg,happy,not toxic
neverland,ez,happy,not toxic
neverland,HAHAHAHAHA,happy,not toxic
neverland,hahaha,sad,not toxic
neverland,no? ,neutral,not toxic
neverland,elbow,neutral,not toxic
neverland,reyna,neutral,not toxic
neverland,1 hooka,neutral,not toxic
neverland,mb,sad,not toxic
neverland,can you put trap in site,disgust,RNG complaints
neverland,wp throw,sad,EBR complaints
